recommendation,sourceSheet,sourceRowNumber,reviewType,target,evidence,reason
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,706,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 694 | SI | NO | 43945.0 | ESTAMPADOS | 694 | FRANK | S | 75.0 | 75 | 75.0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,710,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 698 | SI | NO | 43974.0 | 698 | S | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,716,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 704 | SI | NO | 704
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,722,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 710 | SI | NO | 710 | 0 | 0 | 0.0 | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,723,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 711 | SI | NO | 711 | 0 | 0 | 0.0 | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,724,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 712 | SI | NO | 712 | 0 | 0 | 0.0 | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,725,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 713 | SI | NO | 713 | 0 | 0 | 0.0 | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,726,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 714 | SI | NO | 714 | 0 | 0 | 0.0 | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,727,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 715 | SI | NO | 715 | 0 | 0 | 0.0 | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,728,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 716 | SI | NO | 716 | 0 | 0 | 0.0 | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,729,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 717 | SI | NO | 717 | 0 | 0 | 0.0 | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,730,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 718 | SI | NO | 718 | 0 | 0 | 0.0 | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,763,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 751 | 751
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,771,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 759 | 759
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,778,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 766 | 766 | 0 | 0 | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,779,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 767 | 767 | 0 | 0 | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,784,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 772 | 772 | 0 | 0 | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,797,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 785 | 785 | 0 | 0 | 0 | 0
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,1051,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 1039 | 1039
reject_as_identityless_after_audit,WORK ORDER TERMINADOS Y PAGADOS,1434,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 1422 | 1422
